Asia/Krasnoyarsk,true,420,GMT+7:00
Asia/Kuala_Lumpur,true,480,GMT+8:00
Asia/Kuching,true,480,GMT+8:00
Asia/Kuwait,true,180,GMT+3:00
Asia/Macao,true,480,GMT+8:00
Asia/Macau,true,480,GMT+8:00
Asia/Magadan,true,660,GMT+11:00
Asia/Makassar,true,480,GMT+8:00
Asia/Manila,true,480,GMT+8:00
Asia/Muscat,true,240,GMT+4:00
Asia/Nicosia,true,120,GMT+2:00
Asia/Novokuznetsk,true,420,GMT+7:00
Asia/Novosibirsk,true,420,GMT+7:00
Asia/Omsk,true,360,GMT+6:00
Asia/Oral,true,300,GMT+5:00
Asia/Phnom_Penh,true,420,GMT+7:00
Asia/Pontianak,true,420,GMT+7:00
Asia/Pyongyang,true,510,GMT+8:30
Asia/Qatar,true,180,GMT+3:00
Asia/Qyzylorda,true,360,GMT+6:00
Asia/Rangoon,true,390,GMT+6:30
Asia/Riyadh,true,180,GMT+3:00
Asia/Saigon,true,420,GMT+7:00
Asia/Sakhalin,true,660,GMT+11:00
Asia/Samarkand,true,300,GMT+5:00
Asia/Seoul,true,540,GMT+9:00
Asia/Shanghai,true,480,GMT+8:00
Asia/Singapore,true,480,GMT+8:00
Asia/Srednekolymsk,true,660,GMT+11:00
Asia/Taipei,true,480,GMT+8:00
Asia/Tashkent,true,300,GMT+5:00
Asia/Tbilisi,true,240,GMT+4:00
Asia/Tehran,true,210,GMT+3:30
Asia/Tel_Aviv,true,120,GMT+2:00
Asia/Thimbu,true,360,GMT+6:00
Asia/Thimphu,true,360,GMT+6:00
Asia/Tokyo,true,540,GMT+9:00
Asia/Tomsk,true,420,GMT+7:00
Asia/Ujung_Pandang,true,480,GMT+8:00
Asia/Ulaanbaatar,true,480,GMT+8:00
Asia/Ulan_Bator,true,480,GMT+8:00
Asia/Urumqi,true,360,GMT+6:00
Asia/Ust-Nera,true,600,GMT+10:00
Asia/Vientiane,true,420,GMT+7:00
Asia/Vladivostok,true,600,GMT+10:00
Asia/Yakutsk,true,540,GMT+9:00
Asia/Yangon,true,390,GMT+6:30
Asia/Yekaterinburg,true,300,GMT+5:00
Asia/Yerevan,true,240,GMT+4:00
AST,true,-540,GMT-9:00
Atlantic/Azores,true,-60,GMT-1:00
Atlantic/Bermuda,true,-240,GMT-4:00
Atlantic/Canary,true,0,GMT+0:00
Atlantic/Cape_Verde,true,-60,GMT-1:00
Atlantic/Faeroe,true,0,GMT+0:00
Atlantic/Faroe,true,0,GMT+0:00
Atlantic/Jan_Mayen,true,60,GMT+1:00
Atlantic/Madeira,true,0,GMT+0:00
Atlantic/Reykjavik,true,0,GMT+0:00
Atlantic/South_Georgia,true,-120,GMT-2:00
Atlantic/Stanley,true,-180,GMT-3:00
Atlantic/St_Helena,true,0,GMT+0:00
Australia/ACT,true,600,GMT+10:00
Australia/Adelaide,true,570,GMT+9:30
Australia/Brisbane,true,600,GMT+10:00
Australia/Broken_Hill,true,570,GMT+9:30
Australia/Canberra,true,600,GMT+10:00
Australia/Currie,true,600,GMT+10:00
Australia/Darwin,true,570,GMT+9:30
Australia/Eucla,true,525,GMT+8:45
Australia/Hobart,true,600,GMT+10:00
Australia/LHI,true,630,GMT+10:30
Australia/Lindeman,true,600,GMT+10:00
Australia/Lord_Howe,true,630,GMT+10:30
Australia/Melbourne,true,600,GMT+10:00
Australia/North,true,570,GMT+9:30
Australia/NSW,true,600,GMT+10:00
Australia/Perth,true,480,GMT+8:00
Australia/Queensland,true,600,GMT+10:00
Australia/South,true,570,GMT+9:30
Australia/Sydney,true,600,GMT+10:00
Australia/Tasmania,true,600,GMT+10:00
Australia/Victoria,true,600,GMT+10:00
Australia/West,true,480,GMT+8:00
Australia/Yancowinna,true,570,GMT+9:30
BET,true,-180,GMT-3:00
Brazil/Acre,true,-300,GMT-5:00
Brazil/DeNoronha,true,-120,GMT-2:00
Brazil/East,true,-180,GMT-3:00
